dataset,algorithm,avg,max,min,recall,knn,n_queries,num_measure_runs,avg_all,max_all,min_all,ef_search,M,ef_construction,ivf_nprobe
agnews-mxbai-1024-euclidean,ivf_faiss,22.481619342555845,25.053024291992188,19.8976993560791,0.9987999999999999,10,1000,1,22.49282717704773,28.809785842895508,18.873214721679688,0,0,0,512
agnews-mxbai-1024-euclidean,ivf_faiss,11.551733758822923,13.51165771484375,9.61923599243164,0.9973,10,1000,1,11.624531984329224,16.931533813476562,9.61923599243164,0,0,0,256
agnews-mxbai-1024-euclidean,ivf_faiss,10.07452237257202,11.689424514770508,8.502006530761719,0.9967999999999999,10,1000,1,10.092971563339233,12.877464294433594,8.502006530761719,0,0,0,224
agnews-mxbai-1024-euclidean,ivf_faiss,8.743233042669248,10.315179824829102,7.445812225341797,0.9963,10,1000,1,8.792060613632202,13.06009292602539,7.445812225341797,0,0,0,192
agnews-mxbai-1024-euclidean,ivf_faiss,7.293307409065608,8.648395538330078,6.022930145263672,0.9954,10,1000,1,7.305094003677368,9.18889045715332,6.022930145263672,0,0,0,160
agnews-mxbai-1024-euclidean,ivf_faiss,6.6592732333941935,8.063316345214844,5.373954772949219,0.9949,10,1000,1,6.701894521713257,10.158777236938477,5.225181579589844,0,0,0,144
agnews-mxbai-1024-euclidean,ivf_faiss,5.9117055358413335,7.170677185058594,4.699230194091797,0.9946,10,1000,1,5.973871469497681,9.935140609741211,4.699230194091797,0,0,0,128
agnews-mxbai-1024-euclidean,ivf_faiss,5.092764333371194,6.150722503662109,4.082441329956055,0.9927999999999999,10,1000,1,5.102960109710693,6.882190704345703,4.082441329956055,0,0,0,112
agnews-mxbai-1024-euclidean,ivf_faiss,4.405931422584935,5.342721939086914,3.592967987060547,0.9912000000000001,10,1000,1,4.4194440841674805,6.217002868652344,3.390789031982422,0,0,0,96
agnews-mxbai-1024-euclidean,ivf_faiss,3.705064496091763,4.5166015625,2.846240997314453,0.9894,10,1000,1,3.725029468536377,5.4836273193359375,2.846240997314453,0,0,0,80
agnews-mxbai-1024-euclidean,ivf_faiss,3.0369064230054557,3.801107406616211,2.375364303588867,0.9871,10,1000,1,3.053913116455078,4.501581192016602,2.035379409790039,0,0,0,64
agnews-mxbai-1024-euclidean,ivf_faiss,2.6775850954993032,3.367900848388672,1.9938945770263672,0.9847,10,1000,1,2.6892974376678467,4.453420639038086,1.7962455749511719,0,0,0,56
agnews-mxbai-1024-euclidean,ivf_faiss,2.3147677794914943,2.937793731689453,1.8067359924316406,0.9817,10,1000,1,2.3229808807373047,3.1211376190185547,1.5532970428466797,0,0,0,48
agnews-mxbai-1024-euclidean,ivf_faiss,1.9495164055422127,2.5119781494140625,1.4617443084716797,0.9766,10,1000,1,1.9507684707641602,2.6323795318603516,1.3127326965332031,0,0,0,40
agnews-mxbai-1024-euclidean,ivf_faiss,1.5952398210255767,2.041339874267578,1.148223876953125,0.9695,10,1000,1,1.5971968173980713,2.2933483123779297,1.148223876953125,0,0,0,32
agnews-mxbai-1024-euclidean,ivf_faiss,1.4357346075552482,1.9066333770751953,1.008749008178711,0.9649,10,1000,1,1.4539690017700195,2.4271011352539062,0.9677410125732422,0,0,0,28
agnews-mxbai-1024-euclidean,ivf_faiss,1.3323387946469716,1.7380714416503906,0.919342041015625,0.963,10,1000,1,1.3343086242675781,1.905202865600586,0.919342041015625,0,0,0,26
agnews-mxbai-1024-euclidean,ivf_faiss,1.236229595284107,1.6372203826904297,0.8711814880371094,0.9597,10,1000,1,1.239034652709961,1.7542839050292969,0.8711814880371094,0,0,0,24
agnews-mxbai-1024-euclidean,ivf_faiss,1.1517270567453453,1.5411376953125,0.7848739624023438,0.9549,10,1000,1,1.1590893268585205,1.875162124633789,0.7848739624023438,0,0,0,22
agnews-mxbai-1024-euclidean,ivf_faiss,1.0864538986994503,1.4557838439941406,0.728607177734375,0.951,10,1000,1,1.091205358505249,1.628875732421875,0.6966590881347656,0,0,0,20
agnews-mxbai-1024-euclidean,ivf_faiss,0.9799150209273061,1.323699951171875,0.6570816040039062,0.9471,10,1000,1,0.9822564125061035,1.4009475708007812,0.5955696105957031,0,0,0,18
agnews-mxbai-1024-euclidean,ivf_faiss,0.9217579199108112,1.24359130859375,0.6229877471923828,0.9412999999999999,10,1000,1,0.9243440628051758,1.3186931610107422,0.6229877471923828,0,0,0,16
agnews-mxbai-1024-euclidean,ivf_faiss,0.8069286442766286,1.110076904296875,0.5056858062744141,0.9352,10,1000,1,0.8108494281768799,1.6937255859375,0.5056858062744141,0,0,0,14
agnews-mxbai-1024-euclidean,ivf_faiss,0.7215356107932239,1.0023117065429688,0.48041343688964844,0.9257000000000001,10,1000,1,0.7231888771057129,1.135110855102539,0.48041343688964844,0,0,0,12
agnews-mxbai-1024-euclidean,ivf_faiss,0.6349434555176519,0.8845329284667969,0.3921985626220703,0.9154,10,1000,1,0.6369080543518066,1.1754035949707031,0.3921985626220703,0,0,0,10
agnews-mxbai-1024-euclidean,ivf_faiss,0.5688335135256174,0.8323192596435547,0.3216266632080078,0.8986000000000001,10,1000,1,0.5801815986633301,1.0776519775390625,0.3216266632080078,0,0,0,8
agnews-mxbai-1024-euclidean,ivf_faiss,0.4387502103653799,0.6215572357177734,0.2760887145996094,0.8755,10,1000,1,0.440305233001709,0.7603168487548828,0.2760887145996094,0,0,0,6
agnews-mxbai-1024-euclidean,ivf_faiss,0.3274770322560535,0.4718303680419922,0.19788742065429688,0.8332999999999999,10,1000,1,0.33272600173950195,0.9305477142333984,0.19788742065429688,0,0,0,4
agnews-mxbai-1024-euclidean,ivf_faiss,0.22276834565766004,0.3170967102050781,0.14925003051757812,0.735,10,1000,1,0.22542262077331543,0.6549358367919922,0.14925003051757812,0,0,0,2
