dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,ms_nearest_bucket,ms_bounds_evaluation,ms_distance_calculation,ms_query_preprocessing,%_nearest_bucket,%_bounds_evaluation,%_distance_calculation,%_query_preprocessing
agnews-mxbai-1024-euclidean,adsampling,3.44727,7.90539,0.792204,0.9974,512,0,10,1000,0.2,1,3.613,15.3,0.7922,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,2.24712,5.07625,0.634338,0.9958,256,0,10,1000,0.2,1,2.366,8.278,0.6343,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,2.05727,4.67808,0.52851,0.9953,224,0,10,1000,0.2,1,2.155,8.182,0.5285,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,1.78965,4.12214,0.455474,0.9948,192,0,10,1000,0.2,1,1.867,6.741,0.4555,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,1.60315,3.63627,0.414947,0.9939,160,0,10,1000,0.2,1,1.672,5.686,0.4149,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,1.53713,3.55452,0.459451,0.9934,144,0,10,1000,0.2,1,1.608,5.815,0.4595,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,1.39276,3.19182,0.374892,0.9931,128,0,10,1000,0.2,1,1.454,4.819,0.3749,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,1.31734,3.01877,0.379811,0.9913,112,0,10,1000,0.2,1,1.37,4.301,0.3798,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,1.22762,2.83452,0.364934,0.9897,96,0,10,1000,0.2,1,1.271,3.838,0.3649,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,1.10808,2.51716,0.325139,0.9879,80,0,10,1000,0.2,1,1.147,3.326,0.3251,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,0.971817,2.18285,0.292849,0.9856,64,0,10,1000,0.2,1,1.014,2.87,0.2928,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,0.931831,2.06635,0.28295,0.983201,56,0,10,1000,0.2,1,0.9589,2.586,0.2829,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,0.863286,1.90773,0.284102,0.980201,48,0,10,1000,0.2,1,0.8808,2.288,0.2841,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,0.79728,1.72824,0.25597,0.975101,40,0,10,1000,0.2,1,0.8136,2.155,0.256,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,0.735066,1.55913,0.241773,0.968001,32,0,10,1000,0.2,1,0.7471,1.811,0.2418,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,0.685441,1.4392,0.258835,0.963501,28,0,10,1000,0.2,1,0.6958,1.767,0.2588,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,adsampling,0.662076,1.37805,0.228358,0.961601,26,0,10,1000,0.2,1,0.6686,1.538,0.2284,0,0,0,0,-nan,-nan,-nan,-nan
